         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          Ca	        C(4)	        S(6)	  si_calcite	   si_pyrite	
           1	      transp	           1	         0.5	           0	           0	     4.90992	       16.09	  0.0000e+00	  3.5280e-04	  0.0000e+00	   -999.9990	   -999.9990	
           1	      transp	           2	         1.5	           0	           0	     4.90992	       16.09	  0.0000e+00	  3.5280e-04	  0.0000e+00	   -999.9990	   -999.9990	
           1	      transp	           1	         0.5	        3600	           1	     8.55272	     12.4472	  3.7150e-04	  7.2439e-04	  3.5470e-12	      0.0001	   -272.7967	
           1	      transp	           2	         1.5	        3600	           1	     8.55067	     12.4493	  3.7219e-04	  7.2585e-04	  3.5581e-13	     -0.0003	   -275.7839	
           1	      transp	           1	         0.5	        7200	           2	     8.55153	     12.4484	  3.7152e-04	  7.2449e-04	  7.3002e-12	     -0.0009	   -271.8512	
           1	      transp	           2	         1.5	        7200	           2	     8.54879	     12.4511	  3.7297e-04	  7.2748e-04	  7.3128e-13	     -0.0003	   -274.8374	
           1	      transp	           1	         0.5	       10800	           3	     8.54984	     12.4501	  3.7150e-04	  7.2456e-04	  1.1058e-11	     -0.0025	   -271.3031	
           1	      transp	           2	         1.5	       10800	           3	     8.54694	      12.453	  3.7376e-04	  7.2913e-04	  1.1066e-12	     -0.0003	   -274.2900	
           1	      transp	           1	         0.5	       14400	           4	     8.55083	     12.4491	  3.7166e-04	  7.2480e-04	  1.4815e-11	     -0.0013	   -270.9262	
           1	      transp	           2	         1.5	       14400	           4	     8.54508	     12.4548	  3.7455e-04	  7.3077e-04	  1.4816e-12	     -0.0003	   -273.9019	
           1	      transp	           1	         0.5	       18000	           5	     8.52827	     12.4717	  3.7033e-04	  7.2356e-04	  1.8572e-11	     -0.0252	   -270.5361	
           1	      transp	           2	         1.5	       18000	           5	     8.54324	     12.4567	  3.7533e-04	  7.3241e-04	  1.8565e-12	     -0.0003	   -273.6002	
