                dist	                  pH	                  pe	                  O2	                   A	                 Fe2	                 Fe3	               water	












  0.000000000000e+00	  7.212898650266e+00	  4.000000000000e+00	  0.000000000000e+00	  1.000000000000e+00	  4.066826439038e-01	  5.933173561844e-01	  0.000000000000e+00	
  5.000000000000e-01	  7.198923853162e+00	  4.024786795353e+00	  0.000000000000e+00	  8.329852290272e-01	  3.482789168555e-01	  4.988681618961e-01	 -4.584230772764e-10	
  1.500000000000e+00	  7.159901644553e+00	  4.095690803439e+00	  0.000000000000e+00	  5.281616515387e-01	  2.394738755563e-01	  3.252956074211e-01	 -2.082457317698e-09	
  2.500000000000e+00	  7.106371778063e+00	  4.194569114019e+00	  0.000000000000e+00	  2.956781589622e-01	  1.506156343060e-01	  1.899825949031e-01	 -2.584943814554e-09	
  3.500000000000e+00	  7.039869911548e+00	  4.318336949315e+00	  0.000000000000e+00	  1.461030249910e-01	  8.653270694627e-02	  9.955949976293e-02	 -2.718314462413e-09	
  4.500000000000e+00	  6.963282260170e+00	  4.460897867321e+00	  0.000000000000e+00	  6.393924285253e-02	  4.543732145500e-02	  4.706861442599e-02	 -2.674014898396e-09	
  5.500000000000e+00	  6.882503171786e+00	  4.608878461505e+00	  0.000000000000e+00	  2.491648131474e-02	  2.184093503430e-02	  2.021831851594e-02	 -2.674096499788e-09	
  6.500000000000e+00	  6.812149693251e+00	  4.728062739434e+00	  1.253965608066e-37	  8.699604204961e-03	  9.629660826575e-03	  7.946189813660e-03	 -2.798774656476e-09	
  7.500000000000e+00	  6.779897723961e+00	  4.754299113323e+00	  1.186385119694e-37	  2.736995425320e-03	  3.889698800685e-03	  2.867056962296e-03	 -2.232876106234e-09	
  8.500000000000e+00	  6.817033165471e+00	  4.615948527675e+00	  0.000000000000e+00	  7.716932753816e-04	  1.403394505483e-03	  9.328326478646e-04	 -3.835922690598e-10	
  9.500000000000e+00	  6.950895297530e+00	  4.245037233278e+00	  0.000000000000e+00	  1.551773726284e-04	  3.415381089544e-04	  2.096774186023e-04	  1.997153775690e-09	
  1.000000000000e+01	  6.997375705926e+00	  4.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	














  0.000000000000e+00	  7.212898650241e+00	  4.000000000000e+00	  0.000000000000e+00	  1.000000000000e+00	  4.066826439057e-01	  5.933173560943e-01	  0.000000000000e+00	
  5.000000000000e-01	  7.211497056972e+00	  3.998470980166e+00	  0.000000000000e+00	  8.369182663978e-01	  3.403601333083e-01	  4.965581330896e-01	  1.082711698075e-10	
  1.500000000000e+00	  7.208377363405e+00	  3.995338360202e+00	  0.000000000000e+00	  5.367366224608e-01	  2.182814686948e-01	  3.184551537660e-01	  3.073983290136e-10	
  2.500000000000e+00	  7.204962021519e+00	  3.992728940509e+00	  0.000000000000e+00	  3.028103645639e-01	  1.231477196587e-01	  1.796626449052e-01	  4.619842286502e-10	
  3.500000000000e+00	  7.201197254500e+00	  3.991957275235e+00	  0.000000000000e+00	  1.486238895311e-01	  6.044275636345e-02	  8.818113316765e-02	  5.621050291893e-10	
  4.500000000000e+00	  7.196266749788e+00	  3.996107115777e+00	  0.000000000000e+00	  6.283433746829e-02	  2.555363450700e-02	  3.728070296130e-02	  6.124494245086e-10	
  5.500000000000e+00	  7.186960685789e+00	  4.014176020686e+00	  0.000000000000e+00	  2.266274478003e-02	  9.216545002901e-03	  1.344619977713e-02	  6.190499224346e-10	
  6.500000000000e+00	  7.163357874291e+00	  4.072454941262e+00	  0.000000000000e+00	  6.902416412869e-03	  2.807092973404e-03	  4.095323439466e-03	  5.672691205660e-10	
  7.500000000000e+00	  7.108495402965e+00	  4.214687894074e+00	  0.000000000000e+00	  1.754442047621e-03	  7.135011328584e-04	  1.040940914764e-03	  4.060383140825e-10	
  8.500000000000e+00	  7.039477791203e+00	  4.393268165909e+00	  0.000000000000e+00	  3.659964758755e-04	  1.488444231156e-04	  2.171520527601e-04	  1.663691406861e-10	
  9.500000000000e+00	  7.004957090931e+00	  4.481649973307e+00	  0.000000000000e+00	  5.368253842455e-05	  2.183176650183e-05	  3.185077192277e-05	  3.112377022774e-11	
  1.000000000000e+01	  6.997375705860e+00	  4.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
