        cell	          pH	          pe	          O2	           A	          A+	          A-	          cb	








  0.0000e+00	  7.0000e+00	  4.0000e+00	  0.0000e+00	  1.0000e+00	  1.0000e+01	  1.0000e+01	  4.5924e-11	
  1.0000e+00	  6.8170e+00	  1.2860e+01	  4.4312e-05	  3.8329e-01	  2.3638e+00	  4.9513e+00	  2.3178e-06	
  2.0000e+00	  6.8266e+00	  1.2829e+01	  3.6292e-05	  6.4150e-02	  1.3442e-01	  1.1923e+00	 -8.2451e-07	
  3.0000e+00	  6.9970e+00	  4.3000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	 -1.9722e-17	
  4.0000e+00	  6.8415e+00	  1.2836e+01	  4.4336e-05	  2.7965e-01	  1.3082e+00	  4.1371e+00	 -2.6883e-07	
  5.0000e+00	  6.8527e+00	  1.2808e+01	  3.7866e-05	  4.6906e-02	  8.2396e-02	  9.5463e-01	 -1.8815e-06	
  6.0000e+00	  6.8585e+00	  1.2819e+01	  4.4386e-05	  2.3635e-01	  1.0687e+00	  3.8044e+00	 -1.4252e-06	
  8.0000e+00	  6.8481e+00	  1.2829e+01	  4.4333e-05	  2.5878e-01	  1.1452e+00	  3.9771e+00	 -7.2554e-07	




  0.0000e+00	  6.0260e+00	 -2.7557e-01	  0.0000e+00	  1.0000e+00	  9.9010e-02	  1.0000e+01	  4.5923e-11	








  0.0000e+00	  7.0000e+00	  4.0000e+00	  0.0000e+00	  1.0000e+00	  1.0000e+01	  1.0000e+01	  4.5924e-11	
  1.0000e+00	  6.4930e+00	  1.3141e+01	  2.9687e-05	  2.5457e-01	  1.9577e-02	  2.5457e+00	  4.4476e-08	
  2.0000e+00	  6.9050e+00	  1.2684e+01	  1.9650e-05	  2.6726e-02	  3.0035e-06	  2.6726e-01	  1.8745e-08	
  3.0000e+00	  6.9970e+00	  4.3000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	 -1.9722e-17	
  4.0000e+00	  6.5816e+00	  1.3052e+01	  2.9579e-05	  1.8363e-01	  1.3094e-04	  1.8363e+00	  8.4488e-08	
  5.0000e+00	  6.9294e+00	  1.2655e+01	  1.8863e-05	  1.9058e-02	  3.9837e-09	  1.9058e-01	  1.7520e-08	
  6.0000e+00	  6.6279e+00	  1.2998e+01	  2.7572e-05	  1.5309e-01	  4.6610e-07	  1.5309e+00	  6.4472e-08	
  8.0000e+00	  6.6036e+00	  1.3024e+01	  2.8058e-05	  1.6864e-01	  9.8416e-07	  1.6864e+00	  6.1304e-08	
